attribute,subset_size,pair_kind,encoder_a,encoder_b,metric,value
hardness,31314,cross,dinov2_base,sparsh_dino_base,mutual_knn,0.4682602286338806
hardness,31314,cross,dinov2_base,sparsh_dino_base,debiased_cka,0.2327826839329442
hardness,31314,cross,clip_l_vision,sparsh_dino_base,mutual_knn,0.4415341317653656
hardness,31314,cross,clip_l_vision,sparsh_dino_base,debiased_cka,0.295802202062119
hardness,31314,cross,siglip_base_vision,sparsh_dino_base,mutual_knn,0.46311232447624207
hardness,31314,cross,siglip_base_vision,sparsh_dino_base,debiased_cka,0.2509501766914307
hardness,31314,cross,mpnet,sparsh_dino_base,mutual_knn,0.029628919437527657
hardness,31314,cross,mpnet,sparsh_dino_base,debiased_cka,0.09203884495395763
hardness,31314,baseline,dinov2_base,clip_l_vision,mutual_knn,0.5978922843933105
hardness,31314,baseline,dinov2_base,clip_l_vision,debiased_cka,0.5466827143892888
hardness,31314,baseline,clip_l_text,mpnet,mutual_knn,0.6044452786445618
hardness,31314,baseline,clip_l_text,mpnet,debiased_cka,0.8394768295300975
roughness,38974,cross,dinov2_base,sparsh_dino_base,mutual_knn,0.43449223041534424
roughness,38974,cross,dinov2_base,sparsh_dino_base,debiased_cka,0.26261261667098534
roughness,38974,cross,clip_l_vision,sparsh_dino_base,mutual_knn,0.40674808621406555
roughness,38974,cross,clip_l_vision,sparsh_dino_base,debiased_cka,0.3148491140361597
roughness,38974,cross,siglip_base_vision,sparsh_dino_base,mutual_knn,0.4301328957080841
roughness,38974,cross,siglip_base_vision,sparsh_dino_base,debiased_cka,0.281965561595032
roughness,38974,cross,mpnet,sparsh_dino_base,mutual_knn,0.024747267365455627
roughness,38974,cross,mpnet,sparsh_dino_base,debiased_cka,0.10794594131243922
roughness,38974,baseline,dinov2_base,clip_l_vision,mutual_knn,0.5723327994346619
roughness,38974,baseline,dinov2_base,clip_l_vision,debiased_cka,0.5738047720277674
roughness,38974,baseline,clip_l_text,mpnet,mutual_knn,0.5910940766334534
roughness,38974,baseline,clip_l_text,mpnet,debiased_cka,0.8323476643294397
material,4167,cross,dinov2_base,sparsh_dino_base,mutual_knn,0.2955123782157898
material,4167,cross,dinov2_base,sparsh_dino_base,debiased_cka,0.5313711521468637
material,4167,cross,clip_l_vision,sparsh_dino_base,mutual_knn,0.28312936425209045
material,4167,cross,clip_l_vision,sparsh_dino_base,debiased_cka,0.5752571573688713
material,4167,cross,siglip_base_vision,sparsh_dino_base,mutual_knn,0.29306456446647644
material,4167,cross,siglip_base_vision,sparsh_dino_base,debiased_cka,0.5417076513390108
material,4167,cross,mpnet,sparsh_dino_base,mutual_knn,0.05159587413072586
material,4167,cross,mpnet,sparsh_dino_base,debiased_cka,0.34809120627235235
material,4167,baseline,dinov2_base,clip_l_vision,mutual_knn,0.5759539008140564
material,4167,baseline,dinov2_base,clip_l_vision,debiased_cka,0.7633199315334086
material,4167,baseline,clip_l_text,mpnet,mutual_knn,0.6683704853057861
material,4167,baseline,clip_l_text,mpnet,debiased_cka,0.7913025705715299
thermal_appearance,20209,cross,dinov2_base,sparsh_dino_base,mutual_knn,0.5024444460868835
thermal_appearance,20209,cross,dinov2_base,sparsh_dino_base,debiased_cka,0.2289273796396173
thermal_appearance,20209,cross,clip_l_vision,sparsh_dino_base,mutual_knn,0.47288835048675537
thermal_appearance,20209,cross,clip_l_vision,sparsh_dino_base,debiased_cka,0.2844534039551677
thermal_appearance,20209,cross,siglip_base_vision,sparsh_dino_base,mutual_knn,0.49979713559150696
thermal_appearance,20209,cross,siglip_base_vision,sparsh_dino_base,debiased_cka,0.25575596607928536
thermal_appearance,20209,cross,mpnet,sparsh_dino_base,mutual_knn,0.025958729907870293
thermal_appearance,20209,cross,mpnet,sparsh_dino_base,debiased_cka,0.07622893371629161
thermal_appearance,20209,baseline,dinov2_base,clip_l_vision,mutual_knn,0.6120688915252686
thermal_appearance,20209,baseline,dinov2_base,clip_l_vision,debiased_cka,0.53166403174561
thermal_appearance,20209,baseline,clip_l_text,mpnet,mutual_knn,0.5959919095039368
thermal_appearance,20209,baseline,clip_l_text,mpnet,debiased_cka,0.7947012184053139
ALL,43502,cross,dinov2_base,sparsh_dino_base,mutual_knn,0.42143118381500244
ALL,43502,cross,dinov2_base,sparsh_dino_base,debiased_cka,0.27215726692319764
ALL,43502,cross,clip_l_vision,sparsh_dino_base,mutual_knn,0.39456114172935486
ALL,43502,cross,clip_l_vision,sparsh_dino_base,debiased_cka,0.32356221856314427
ALL,43502,cross,siglip_base_vision,sparsh_dino_base,mutual_knn,0.4179301857948303
ALL,43502,cross,siglip_base_vision,sparsh_dino_base,debiased_cka,0.29155267236728427
ALL,43502,cross,mpnet,sparsh_dino_base,mutual_knn,0.023274792358279228
ALL,43502,cross,mpnet,sparsh_dino_base,debiased_cka,0.11544675310779987
ALL,43502,baseline,dinov2_base,clip_l_vision,mutual_knn,0.562256932258606
ALL,43502,baseline,dinov2_base,clip_l_vision,debiased_cka,0.5810070896898101
ALL,43502,baseline,clip_l_text,mpnet,mutual_knn,0.5810951590538025
ALL,43502,baseline,clip_l_text,mpnet,debiased_cka,0.8248758061028201
